module,phase,skill_name,menu_code,display_name,agent,title,icon,description,trigger_condition,depends_on
"cai-skills","1-attract","cai-content-architect","CA","Coda","Coda","Content Architect","🏗️","Architect high-value content units using the 5-Category Topic Matrix and Retention Mechanics. Use when creating content strategy or content pieces.","When building a content strategy or producing a content piece","cai-hook-engineer"
"cai-skills","1-attract","cai-hook-engineer","HE","Aura","Aura","Hook Engineer","⚡","Engineer high-CTR headlines and hooks using the 7-Component News Matrix. Use when optimizing content hooks or headlines.","When creating any content asset — always run before content production","none"
"cai-skills","3-scale","cai-growth-controller","GC","Felix","Felix","Growth Controller","📈","Financial oversight and scaling strategy for CAI campaigns. Use when monitoring LTGP:CAC ratios, planning scaling phases, or optimizing the money printer.","When CAC data is 30+ days old or before any budget increase","cai-content-architect"
"cai-skills","4-optimize","cai-ceo-architect","CEO","CEO","CEO","Strategic Architect","🎯","Strategic oversight and executive decision-making for CAI campaigns. Use when validating business models, setting strategic direction, or making high-level acquisition decisions.","Quarterly or when pivoting acquisition strategy","all"
"cai-skills","4-optimize","cai-compliance-auditor","AU","Vera","Vera","Compliance Auditor","🔍","Quality gatekeeper ensuring blueprint adherence. Use when validating naming schemas, Give:Ask ratios, and operational compliance for CAI campaigns.","Before any scaling decision or monthly ecosystem health check","all"
"cai-skills","4-optimize","cai-feedback-loop-tracker","FT","Trace","Trace","Feedback Loop Tracker","🔄","Track content and ad performance metrics to close the feedback loop. Use when reviewing what worked, diagnosing underperformance, or building data-driven iteration cycles.","Weekly review cycle or when any asset underperforms benchmark","cai-growth-controller"
"core-skills","core","cai-advanced-elicitation","","cai-advanced-elicitation","","","","Push the LLM to reconsider, refine, and improve its recent output. Use when user asks for deeper critique or mentions a known deeper critique method, e.g. socratic, first principles, pre-mortem, red team.","",""
"core-skills","core","cai-brainstorming","","cai-brainstorming","","","","Facilitate interactive brainstorming sessions using diverse creative techniques and ideation methods. Use when the user says help me brainstorm or help me ideate.","",""
"core-skills","core","cai-distillator","","cai-distillator","","","","Lossless LLM-optimized compression of source documents. Use when the user requests to 'distill documents' or 'create a distillate'.","",""
"core-skills","core","cai-editorial-review-prose","","cai-editorial-review-prose","","","","Clinical copy-editor that reviews text for communication issues. Use when user says review for prose or improve the prose","",""
"core-skills","core","cai-editorial-review-structure","","cai-editorial-review-structure","","","","Structural editor that proposes cuts, reorganization, and simplification while preserving comprehension. Use when user requests structural review or editorial review of structure","",""
"core-skills","core","cai-help","","cai-help","","","","Use when user asks for help, what to do next, or what to start with. Analyzes current state and recommends the next skill(s) to use across any installed MicroHard module.","",""
"core-skills","core","cai-index-docs","","cai-index-docs","","","","Generates or updates an index.md to reference all docs in the folder. Use if user requests to create or update an index of all files in a specific folder","",""
"core-skills","core","cai-init","","cai-init","","","","Initialize CAI project configuration and load config variables. Use when any skill needs module-specific configuration values, or when setting up a new CAI project.","",""
"core-skills","core","cai-party-mode","","cai-party-mode","","","","Orchestrates group discussions between all installed CAI agents, enabling natural multi-agent conversations. Use when user requests party mode.","",""
"core-skills","core","cai-review-adversarial-general","","cai-review-adversarial-general","","","","Perform a Cynical Review and produce a findings report. Use when the user requests a critical review of something","",""
"core-skills","core","cai-review-edge-case-hunter","","cai-review-edge-case-hunter","","","","Walk every branching path and boundary condition in content, report only unhandled edge cases. Orthogonal to adversarial review - method-driven not attitude-driven. Use when you need exhaustive edge-case analysis of code, specs, or diffs.","",""
"core-skills","core","cai-shard-doc","","cai-shard-doc","","","","Splits large markdown documents into smaller, organized files based on level 2 (default) sections. Use if the user says perform shard document","",""
"mgi-skills","1-distillation","mgi-knowledge-curator","KC","Curator","Curator","Knowledge Distillation Specialist","📚","Use when you have raw source material (MD/PDF/text) to internalize as a reusable mental model. Ingests it and transforms it into a clean, indexed, executable mental model stored in the knowledge library.","When you have a new framework / book / article to internalize as a reusable mental model.",""
"mgi-skills","1-distillation","mgi-theory-practitioner","TP","Analyst","Analyst","Pattern Recognition & Theory Application Specialist","📊","Use when you want to apply a known mental model to a real challenge with precision. Takes a mental model from the library and applies it to a real user-provided challenge, generating an actionable protocol grounded in the model's logic.","When you have a problem and want to apply a known mental model to it with precision.","mgi-knowledge-curator"
"mgi-skills","2-stress-test","mgi-adversarial-designer","AD","Inversionist","Inversionist","Adversarial Risk Architect","🔄","Use when you need to stress-test a high-stakes plan before committing. Bulletproofs it by attacking from all angles — Inversionist kills it on paper, Critic audits for bias, Architect hardens the surviving structure.","Before committing to any major strategic decision or system design.",""
"mgi-skills","2-stress-test","mgi-first-principles-deconstructor","FP","Thinker","Thinker","First-Principles Deconstruction Specialist","🧠","Use when every solution feels like a variation of the same broken approach. Unblocks seemingly impossible design or engineering problems by stripping them to axioms (Thinker) and re-synthesizing a clean solution (Engineer) that bypasses inherited constraints.","When every solution feels like a variation of the same broken approach.",""
"mgi-skills","3-synthesis","mgi-cross-domain-synthesizer","CD","Brainstormer","Brainstormer","Cross-Domain Synthesis & Divergent Thinking Specialist","💡","Use when domain-local thinking is exhausted and you need a fundamentally different approach. Solves a technical or strategic problem by importing structural logic from a completely different domain — extracts logic from Domain A, maps it onto Problem B, synthesizes the novel insight.","When domain-local thinking has been exhausted and you need a fundamentally different approach.",""
"mgi-skills","3-synthesis","mgi-system-auditor","SA","Architect","Architect","System Entropy & Structural Integrity Specialist","🏛️","Use when a working system is slowing down or nobody fully understands it anymore. Audits a system, architecture, or organization for entropy — unnecessary complexity, abstraction bloat, and structural decay — then produces an optimization directive.","When a working system is slowing down or no one fully understands it anymore.",""
