canonicalId,name,description,module,path,install_to_cai
"cai-content-architect","cai-content-architect","Architect high-value content units using the 5-Category Topic Matrix and Retention Mechanics. Use when creating content strategy or content pieces.","cai-skills","cai-skills/1-attract/cai-content-architect/SKILL.md","true"
"cai-hook-engineer","cai-hook-engineer","Engineer high-CTR headlines and hooks using the 7-Component News Matrix. Use when optimizing content hooks or headlines.","cai-skills","cai-skills/1-attract/cai-hook-engineer/SKILL.md","true"
"cai-growth-controller","cai-growth-controller","Financial oversight and scaling strategy for CAI campaigns. Use when monitoring LTGP:CAC ratios, planning scaling phases, or optimizing the money printer.","cai-skills","cai-skills/3-scale/cai-growth-controller/SKILL.md","true"
"cai-ceo-architect","cai-ceo-architect","Strategic oversight and executive decision-making for CAI campaigns. Use when validating business models, setting strategic direction, or making high-level acquisition decisions.","cai-skills","cai-skills/4-optimize/cai-ceo-architect/SKILL.md","true"
"cai-compliance-auditor","cai-compliance-auditor","Quality gatekeeper ensuring blueprint adherence. Use when validating naming schemas, Give:Ask ratios, and operational compliance for CAI campaigns.","cai-skills","cai-skills/4-optimize/cai-compliance-auditor/SKILL.md","true"
"cai-feedback-loop-tracker","cai-feedback-loop-tracker","Track content and ad performance metrics to close the feedback loop. Use when reviewing what worked, diagnosing underperformance, or building data-driven iteration cycles.","cai-skills","cai-skills/4-optimize/cai-feedback-loop-tracker/SKILL.md","true"
"cai-advanced-elicitation","cai-advanced-elicitation","Push the LLM to reconsider, refine, and improve its recent output. Use when user asks for deeper critique or mentions a known deeper critique method, e.g. socratic, first principles, pre-mortem, red team.","core-skills","core-skills/cai-advanced-elicitation/SKILL.md","true"
"cai-brainstorming","cai-brainstorming","Facilitate interactive brainstorming sessions using diverse creative techniques and ideation methods. Use when the user says help me brainstorm or help me ideate.","core-skills","core-skills/cai-brainstorming/SKILL.md","true"
"cai-distillator","cai-distillator","Lossless LLM-optimized compression of source documents. Use when the user requests to 'distill documents' or 'create a distillate'.","core-skills","core-skills/cai-distillator/SKILL.md","true"
"cai-editorial-review-prose","cai-editorial-review-prose","Clinical copy-editor that reviews text for communication issues. Use when user says review for prose or improve the prose","core-skills","core-skills/cai-editorial-review-prose/SKILL.md","true"
"cai-editorial-review-structure","cai-editorial-review-structure","Structural editor that proposes cuts, reorganization, and simplification while preserving comprehension. Use when user requests structural review or editorial review of structure","core-skills","core-skills/cai-editorial-review-structure/SKILL.md","true"
"cai-help","cai-help","Use when user asks for help, what to do next, or what to start with. Analyzes current state and recommends the next skill(s) to use across any installed MicroHard module.","core-skills","core-skills/cai-help/SKILL.md","true"
"cai-index-docs","cai-index-docs","Generates or updates an index.md to reference all docs in the folder. Use if user requests to create or update an index of all files in a specific folder","core-skills","core-skills/cai-index-docs/SKILL.md","true"
"cai-init","cai-init","Initialize CAI project configuration and load config variables. Use when any skill needs module-specific configuration values, or when setting up a new CAI project.","core-skills","core-skills/cai-init/SKILL.md","true"
"cai-party-mode","cai-party-mode","Orchestrates group discussions between all installed CAI agents, enabling natural multi-agent conversations. Use when user requests party mode.","core-skills","core-skills/cai-party-mode/SKILL.md","true"
"cai-review-adversarial-general","cai-review-adversarial-general","Perform a Cynical Review and produce a findings report. Use when the user requests a critical review of something","core-skills","core-skills/cai-review-adversarial-general/SKILL.md","true"
"cai-review-edge-case-hunter","cai-review-edge-case-hunter","Walk every branching path and boundary condition in content, report only unhandled edge cases. Orthogonal to adversarial review - method-driven not attitude-driven. Use when you need exhaustive edge-case analysis of code, specs, or diffs.","core-skills","core-skills/cai-review-edge-case-hunter/SKILL.md","true"
"cai-shard-doc","cai-shard-doc","Splits large markdown documents into smaller, organized files based on level 2 (default) sections. Use if the user says perform shard document","core-skills","core-skills/cai-shard-doc/SKILL.md","true"
"mgi-knowledge-curator","mgi-knowledge-curator","Use when you have raw source material (MD/PDF/text) to internalize as a reusable mental model. Ingests it and transforms it into a clean, indexed, executable mental model stored in the knowledge library.","mgi-skills","mgi-skills/1-distillation/mgi-knowledge-curator/SKILL.md","true"
"mgi-theory-practitioner","mgi-theory-practitioner","Use when you want to apply a known mental model to a real challenge with precision. Takes a mental model from the library and applies it to a real user-provided challenge, generating an actionable protocol grounded in the model's logic.","mgi-skills","mgi-skills/1-distillation/mgi-theory-practitioner/SKILL.md","true"
"mgi-adversarial-designer","mgi-adversarial-designer","Use when you need to stress-test a high-stakes plan before committing. Bulletproofs it by attacking from all angles — Inversionist kills it on paper, Critic audits for bias, Architect hardens the surviving structure.","mgi-skills","mgi-skills/2-stress-test/mgi-adversarial-designer/SKILL.md","true"
"mgi-first-principles-deconstructor","mgi-first-principles-deconstructor","Use when every solution feels like a variation of the same broken approach. Unblocks seemingly impossible design or engineering problems by stripping them to axioms (Thinker) and re-synthesizing a clean solution (Engineer) that bypasses inherited constraints.","mgi-skills","mgi-skills/2-stress-test/mgi-first-principles-deconstructor/SKILL.md","true"
"mgi-cross-domain-synthesizer","mgi-cross-domain-synthesizer","Use when domain-local thinking is exhausted and you need a fundamentally different approach. Solves a technical or strategic problem by importing structural logic from a completely different domain — extracts logic from Domain A, maps it onto Problem B, synthesizes the novel insight.","mgi-skills","mgi-skills/3-synthesis/mgi-cross-domain-synthesizer/SKILL.md","true"
"mgi-system-auditor","mgi-system-auditor","Use when a working system is slowing down or nobody fully understands it anymore. Audits a system, architecture, or organization for entropy — unnecessary complexity, abstraction bloat, and structural decay — then produces an optimization directive.","mgi-skills","mgi-skills/3-synthesis/mgi-system-auditor/SKILL.md","true"
